Id,SalePrice
1461,121568.0
1462,160595.0
1463,186137.0
1464,200624.0
1465,188915.0
1466,173636.0
1467,176135.0
1468,166139.0
1469,189866.0
1470,122041.0
1471,188918.0
1472,94383.0
1473,92857.0
1474,147213.0
1475,112053.0
1476,362730.0
1477,246888.0
1478,287040.0
1479,287393.0
1480,514442.0
1481,322927.0
1482,206745.0
1483,170302.0
1484,160948.0
1485,182684.0
1486,195262.0
1487,338373.0
1488,242610.0
1489,197542.0
1490,238191.0
1491,192349.0
1492,90388.0
1493,185787.0
1494,289272.0
1495,287450.0
1496,239401.0
1497,183246.0
1498,164250.0
1499,159648.0
1500,156263.0
1501,176266.0
1502,142814.0
1503,300548.0
1504,242163.0
1505,228253.0
1506,189251.0
1507,253915.0
1508,201411.0
1509,161278.0
1510,145840.0
1511,145390.0
1512,173680.0
1513,150099.0
1514,161199.0
1515,190123.0
1516,148823.0
1517,167837.0
1518,128010.0
1519,217570.0
1520,130469.0
1521,134229.0
1522,175536.0
1523,113539.0
1524,125145.0
1525,122082.0
1526,112848.0
1527,97516.0
1528,136947.0
1529,150637.0
1530,181720.0
1531,94363.0
1532,93689.0
1533,145085.0
1534,120218.0
1535,149193.0
1536,105639.0
1537,60285.0
1538,160029.0
1539,191341.0
1540,89479.0
1541,140059.0
1542,141418.0
1543,197076.0
1544,82734.0
1545,109845.0
1546,129152.0
1547,129849.0
1548,136838.0
1549,114532.0
1550,134853.0
1551,106863.0
1552,140381.0
1553,151843.0
1554,117092.0
1555,164844.0
1556,81865.0
1557,102027.0
1558,94745.0
1559,79744.0
1560,128168.0
1561,134264.0
1562,129208.0
1563,122036.0
1564,153136.0
1565,148434.0
1566,239688.0
1567,75840.0
1568,231047.0
1569,131196.0
1570,136266.0
1571,114782.0
1572,145130.0
1573,240704.0
1574,117520.0
1575,228951.0
1576,248608.0
1577,185877.0
1578,141788.0
1579,143715.0
1580,193261.0
1581,154457.0
1582,125515.0
1583,313214.0
1584,223468.0
1585,137586.0
1586,63999.0
1587,95704.0
1588,153083.0
1589,99387.0
1590,133901.0
1591,90754.0
1592,113787.0
1593,122586.0
1594,131455.0
1595,105860.0
1596,231434.0
1597,190007.0
1598,209959.0
1599,166186.0
1600,161791.0
1601,62694.0
1602,112819.0
1603,84036.0
1604,266739.0
1605,243066.0
1606,171111.0
1607,165728.0
1608,213561.0
1609,182058.0
1610,150550.0
1611,136070.0
1612,167127.0
1613,166625.0
1614,126516.0
1615,86717.0
1616,74396.0
1617,90009.0
1618,125681.0
1619,140686.0
1620,163231.0
1621,133918.0
1622,141019.0
1623,276108.0
1624,211162.0
1625,119191.0
1626,167245.0
1627,193270.0
1628,280832.0
1629,178223.0
1630,356317.0
1631,220980.0
1632,235230.0
1633,171504.0
1634,185657.0
1635,175481.0
1636,149262.0
1637,204985.0
1638,186123.0
1639,185210.0
1640,257772.0
1641,180815.0
1642,235791.0
1643,216989.0
1644,232844.0
1645,200101.0
1646,162204.0
1647,160603.0
1648,126718.0
1649,139419.0
1650,112276.0
1651,121101.0
1652,95718.0
1653,99043.0
1654,143831.0
1655,140786.0
1656,142329.0
1657,148298.0
1658,143060.0
1659,122493.0
1660,153268.0
1661,449431.0
1662,407283.0
1663,384070.0
1664,522081.0
1665,304582.0
1666,324048.0
1667,391302.0
1668,332108.0
1669,298108.0
1670,345484.0
1671,257949.0
1672,466281.0
1673,288369.0
1674,238855.0
